year,region,round,team_a,team_b,team_a_seed,team_b_seed,winner
2014,West,First,san-diego-state,new-mexico-state,4,13,san-diego-state
2014,West,First,baylor,nebraska,6,11,baylor
2014,West,First,creighton,louisiana-lafayette,3,14,creighton
2014,West,First,oregon,brigham-young,7,10,oregon
2014,West,First,wisconsin,american,2,15,wisconsin
2014,West,Second,arizona,gonzaga,1,8,arizona
2014,West,Second,north-dakota-state,san-diego-state,12,4,san-diego-state
2014,West,Second,baylor,creighton,6,3,baylor
2014,West,Second,oregon,wisconsin,7,2,wisconsin
2014,West,Sweet 16,arizona,san-diego-state,1,4,arizona
2014,West,Sweet 16,baylor,wisconsin,6,2,wisconsin
2014,West,Elite 8,arizona,wisconsin,1,2,wisconsin
2014,National,Final 4,connecticut,florida,7,1,connecticut
2014,National,Final 4,wisconsin,kentucky,2,8,kentucky
2014,National,National Championship,connecticut,kentucky,7,8,connecticut
2015,East,First,villanova,lafayette,1,16,villanova
2015,East,First,north-carolina-state,louisiana-state,8,9,north-carolina-state
2015,East,First,northern-iowa,wyoming,5,12,northern-iowa
2015,East,First,louisville,california-irvine,4,13,louisville
2015,East,First,providence,dayton,6,11,dayton
2015,East,First,oklahoma,albany-ny,3,14,oklahoma
2015,East,First,michigan-state,georgia,7,10,michigan-state
2015,East,First,virginia,belmont,2,15,virginia
2015,East,Second,villanova,north-carolina-state,1,8,north-carolina-state
2015,East,Second,northern-iowa,louisville,5,4,louisville
2015,East,Second,dayton,oklahoma,11,3,oklahoma
2015,East,Second,michigan-state,virginia,7,2,michigan-state
2015,East,Sweet 16,north-carolina-state,louisville,8,4,louisville
2015,East,Sweet 16,oklahoma,michigan-state,3,7,michigan-state
2015,East,Elite 8,louisville,michigan-state,4,7,michigan-state
2015,Midwest,First,kentucky,hampton,1,16,kentucky
2015,Midwest,First,cincinnati,purdue,8,9,cincinnati
2015,Midwest,First,west-virginia,buffalo,5,12,west-virginia
2015,Midwest,First,maryland,valparaiso,4,13,maryland
2015,Midwest,First,butler,texas,6,11,butler
2015,Midwest,First,notre-dame,northeastern,3,14,notre-dame
2015,Midwest,First,wichita-state,indiana,7,10,wichita-state
2015,Midwest,First,kansas,new-mexico-state,2,15,kansas
2015,Midwest,Second,kentucky,cincinnati,1,8,kentucky
2015,Midwest,Second,west-virginia,maryland,5,4,west-virginia
2015,Midwest,Second,butler,notre-dame,6,3,notre-dame
2015,Midwest,Second,wichita-state,kansas,7,2,wichita-state
2015,Midwest,Sweet 16,kentucky,west-virginia,1,5,kentucky
2015,Midwest,Sweet 16,notre-dame,wichita-state,3,7,notre-dame
2015,Midwest,Elite 8,kentucky,notre-dame,1,3,kentucky
2015,South,First,duke,robert-morris,1,16,duke
2015,South,First,san-diego-state,st-johns-ny,8,9,san-diego-state
2015,South,First,utah,stephen-f-austin,5,12,utah
2015,South,First,georgetown,eastern-washington,4,13,georgetown
2015,South,First,southern-methodist,ucla,6,11,ucla
2015,South,First,iowa-state,alabama-birmingham,3,14,alabama-birmingham
2015,South,First,iowa,davidson,7,10,iowa
2015,South,First,gonzaga,north-dakota-state,2,15,gonzaga
2015,South,Second,duke,san-diego-state,1,8,duke
2015,South,Second,utah,georgetown,5,4,utah
2015,South,Second,ucla,alabama-birmingham,11,14,ucla
2015,South,Second,iowa,gonzaga,7,2,gonzaga
2015,South,Sweet 16,duke,utah,1,5,duke
2015,South,Sweet 16,ucla,gonzaga,11,2,gonzaga
2015,South,Elite 8,duke,gonzaga,1,2,duke
2015,West,First,wisconsin,coastal-carolina,1,16,wisconsin
2015,West,First,oregon,oklahoma-state,8,9,oregon
2015,West,First,arkansas,wofford,5,12,arkansas
2015,West,First,north-carolina,harvard,4,13,north-carolina
2015,West,First,xavier,mississippi,6,11,xavier
2015,West,First,baylor,georgia-state,3,14,georgia-state
2015,West,First,virginia-commonwealth,ohio-state,7,10,ohio-state
2015,West,First,arizona,texas-southern,2,15,arizona
2015,West,Second,wisconsin,oregon,1,8,wisconsin
2015,West,Second,arkansas,north-carolina,5,4,north-carolina
2015,West,Second,xavier,georgia-state,6,14,xavier
2015,West,Second,ohio-state,arizona,10,2,arizona
2015,West,Sweet 16,wisconsin,north-carolina,1,4,wisconsin
2015,West,Sweet 16,xavier,arizona,6,2,arizona
2015,West,Elite 8,wisconsin,arizona,1,2,wisconsin
2015,National,Final 4,duke,michigan-state,1,7,duke
2015,National,Final 4,kentucky,wisconsin,1,1,wisconsin
2015,National,National Championship,duke,wisconsin,1,1,duke
2016,East,First,north-carolina,florida-gulf-coast,1,16,north-carolina
2016,East,First,southern-california,providence,8,9,providence
2016,East,First,indiana,chattanooga,5,12,indiana
2016,East,First,kentucky,stony-brook,4,13,kentucky
2016,East,First,notre-dame,michigan,6,11,notre-dame
2016,East,First,west-virginia,stephen-f-austin,3,14,stephen-f-austin
2016,East,First,wisconsin,pittsburgh,7,10,wisconsin
2016,East,First,xavier,weber-state,2,15,xavier
2016,East,Second,north-carolina,providence,1,9,north-carolina
2016,East,Second,indiana,kentucky,5,4,indiana
2016,East,Second,notre-dame,stephen-f-austin,6,14,notre-dame
2016,East,Second,wisconsin,xavier,7,2,wisconsin
2016,East,Sweet 16,north-carolina,indiana,1,5,north-carolina
2016,East,Sweet 16,notre-dame,wisconsin,6,7,notre-dame
2016,East,Elite 8,north-carolina,notre-dame,1,6,north-carolina
2016,Midwest,First,virginia,hampton,1,16,virginia
2016,Midwest,First,texas-tech,butler,8,9,butler
2016,Midwest,First,purdue,arkansas-little-rock,5,12,arkansas-little-rock
2016,Midwest,First,iowa-state,iona,4,13,iowa-state
2016,Midwest,First,seton-hall,gonzaga,6,11,gonzaga
2016,Midwest,First,utah,fresno-state,3,14,utah
2016,Midwest,First,dayton,syracuse,7,10,syracuse
2016,Midwest,First,michigan-state,middle-tennessee,2,15,middle-tennessee
2016,Midwest,Second,virginia,butler,1,9,virginia
2016,Midwest,Second,arkansas-little-rock,iowa-state,12,4,iowa-state
2016,Midwest,Second,gonzaga,utah,11,3,gonzaga
2016,Midwest,Second,syracuse,middle-tennessee,10,15,syracuse
2016,Midwest,Sweet 16,virginia,iowa-state,1,4,virginia
2016,Midwest,Sweet 16,gonzaga,syracuse,11,10,syracuse
2016,Midwest,Elite 8,virginia,syracuse,1,10,syracuse
2016,South,First,kansas,austin-peay,1,16,kansas
2016,South,First,colorado,connecticut,8,9,connecticut
2016,South,First,maryland,south-dakota-state,5,12,maryland
2016,South,First,california,hawaii,4,13,hawaii
2016,South,First,arizona,wichita-state,6,11,wichita-state
2016,South,First,miami-fl,buffalo,3,14,miami-fl
2016,South,First,iowa,temple,7,10,iowa
2016,South,First,villanova,north-carolina-asheville,2,15,villanova
2016,South,Second,kansas,connecticut,1,9,kansas
2016,South,Second,maryland,hawaii,5,13,maryland
2016,South,Second,wichita-state,miami-fl,11,3,miami-fl
2016,South,Second,iowa,villanova,7,2,villanova
2016,South,Sweet 16,kansas,maryland,1,5,kansas
2016,South,Sweet 16,miami-fl,villanova,3,2,villanova
2016,South,Elite 8,kansas,villanova,1,2,villanova
2016,West,First,oregon,holy-cross,1,16,oregon
2016,West,First,saint-josephs,cincinnati,8,9,saint-josephs
2016,West,First,baylor,yale,5,12,yale
2016,West,First,duke,north-carolina-wilmington,4,13,duke
2016,West,First,texas,northern-iowa,6,11,northern-iowa
2016,West,First,texas-am,green-bay,3,14,texas-am
